,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Price,Close,High,Low,Open,Volume,MA50d,Signal,Return,Strategy
106,106,106,106,106,2023-06-06,176.8951873779297,177.79342164547316,175.13816542041533,177.64536518975015,64848400,166.8130026245117,1,-0.0020602676936269937,-0.0020602676936269937
107,107,107,107,107,2023-06-07,175.52316284179688,178.86937468745242,175.02962118278165,176.13514967923302,61944600,167.2030712890625,1,-0.007756143943031812,-0.007756143943031812
108,108,108,108,108,2023-06-08,178.2376251220703,178.50412674833163,175.1677956906412,175.60209965770608,50214900,167.65984954833985,1,0.015464980440900833,0.015464980440900833
109,109,109,109,109,2023-06-09,178.62258911132812,179.87617397731293,178.2968498358667,179.1556074319137,48900000,168.06281799316406,1,0.0021598357192773587,0.0021598357192773587
110,110,110,110,110,2023-06-12,181.4160003662109,181.5147147030888,178.6324337942364,178.92856174317663,54274900,168.49030853271483,1,0.015638622577247352,0.015638622577247352
111,111,111,111,111,2023-06-13,180.94219970703125,181.7713458918988,180.08344223425368,180.4387927508673,54929100,168.8582485961914,1,-0.0026116806578428964,-0.0026116806578428964
112,112,112,112,112,2023-06-14,181.573959350586,182.00827838693,179.66889592317074,181.00144926283195,57462900,169.21378692626953,1,0.0034914997417829774,0.0034914997417829774
113,113,113,113,113,2023-06-15,183.6073303222656,184.11075236554325,181.40613912687283,181.58382192499832,65433200,169.6206381225586,1,0.011198582544281743,0.011198582544281743
114,114,114,114,114,2023-06-16,182.5314178466797,184.57468723659963,181.88981981135748,184.31803597311568,101256200,170.0428369140625,1,-0.005859855778619916,-0.005859855778619916
115,115,115,115,115,2023-06-20,182.6202392578125,183.69617128575536,182.0279984336963,182.0279984336963,49799100,170.4490689086914,1,0.0004866088927628631,0.0004866088927628631
116,116,116,116,116,2023-06-21,181.5838317871093,183.015099412311,180.23151756348105,182.5116773416917,49515700,170.88642211914063,1,-0.005675205962467622,-0.005675205962467622
117,117,117,117,117,2023-06-22,184.5845489501953,184.6339061200073,181.29756025506936,181.3666633051449,51245300,171.4080383300781,1,0.01652524420017798,0.01652524420017798
118,118,118,118,118,2023-06-23,184.26866149902344,185.13729942612093,182.6202345686034,183.1532678644832,53117000,171.93713653564453,1,-0.0017113428668241726,-0.0017113428668241726
119,119,119,119,119,2023-06-26,182.8769073486328,185.6209974197008,182.8374155863717,184.4167547195407,48088700,172.33075927734376,1,-0.007552853203950827,-0.007552853203950827
120,120,120,120,120,2023-06-27,185.630859375,185.9565986299679,183.27173119056016,183.4888906938721,50730800,172.7863610839844,1,0.015059047455986851,0.015059047455986851
121,121,121,121,121,2023-06-28,186.8054962158203,187.44709427325768,185.1768149551289,185.5025391579117,51216800,173.2650616455078,1,0.0063278101753942995,0.0063278101753942995
122,122,122,122,122,2023-06-29,187.14108276367188,187.6148934997605,186.4994847683796,186.6376758009822,46347300,173.72602752685546,1,0.0017964490052468918,0.0017964490052468918
123,123,123,123,123,2023-06-30,191.46453857421875,191.96794560784363,188.7895363484197,189.1547673916645,85213200,174.2505938720703,1,0.02310265467474437,0.02310265467474437
124,124,124,124,124,2023-07-03,189.9740295410156,191.3756858056153,189.28305928715224,191.2769714660081,31458200,174.7646713256836,1,-0.007784778551174765,-0.007784778551174765
125,125,125,125,125,2023-07-05,188.858642578125,190.48732393792235,188.1578068340229,189.09554798353173,46920300,175.28857452392577,1,-0.005871260222175656,-0.005871260222175656
126,126,126,126,126,2023-07-06,189.3324279785156,189.53972207962792,186.756140199604,187.3878728511301,45094300,175.81584197998046,1,0.002508677357429434,0.002508677357429434
127,127,127,127,127,2023-07-07,188.217025756836,190.1813268348204,187.7827217812524,188.93760736945487,46815000,176.35155578613282,1,-0.005891237088060608,-0.005891237088060608
128,128,128,128,128,2023-07-10,186.1737518310547,187.53593138541007,184.62402407003376,186.8153498480431,59922200,176.8466012573242,1,-0.010855946307541164,-0.010855946307541164
129,129,129,129,129,2023-07-11,185.650619506836,186.8548622770273,184.18974051380027,186.71667122446576,46638100,177.23951202392578,1,-0.0028099144969341294,-0.0028099144969341294
130,130,130,130,130,2023-07-12,187.3187866210937,189.22385000348103,186.03557542450565,187.22993768452707,60750200,177.64074951171875,1,0.008985518705453499,0.008985518705453499
131,131,131,131,131,2023-07-13,188.0788116455078,188.72042471252908,187.32863389417253,188.0393349477294,41342300,178.0589614868164,1,0.0040573881462915296,0.0040573881462915296
132,132,132,132,132,2023-07-14,188.2268981933593,188.71055932283983,187.18059240914323,187.77283329330808,41616200,178.50083557128906,1,0.0007873643317706236,0.0007873643317706236
133,133,133,133,133,2023-07-17,191.48426818847656,191.81000743962883,189.33241906132668,189.421252931179,50520200,179.0293453979492,1,0.017305549984524937,0.017305549984524937
134,134,134,134,134,2023-07-18,191.2276306152344,191.8198865800326,189.93455398917624,190.852549228444,48288200,179.58544891357423,1,-0.001340254088077586,-0.001340254088077586
135,135,135,135,135,2023-07-19,192.57994079589844,195.66950100927124,190.16157487576123,190.6057743707706,80507300,180.0152200317383,1,0.007071730043996638,0.007071730043996638
136,136,136,136,136,2023-07-20,190.6353912353516,193.9322456468904,190.01352397351403,192.57006595398724,59581200,180.40748046875,1,-0.010097362957483424,-0.010097362957483424
137,137,137,137,137,2023-07-21,189.46075439453125,192.4516153262713,188.7599186858544,191.59285775033445,71951700,180.81035400390624,1,-0.006161693446366301,-0.006161693446366301
138,138,138,138,138,2023-07-24,190.26028442382807,192.3923877240068,189.766742829992,190.9117629424984,45377800,181.1939291381836,1,0.004220029799057334,0.004220029799057334
139,139,139,139,139,2023-07-25,191.1190643310547,191.9284798692301,190.42810903120733,190.83281680029503,37283200,181.59093383789062,1,0.004513710834750828,0.004513710834750828
140,140,140,140,140,2023-07-26,191.98768615722656,193.11296042478057,190.8229351880455,191.1684052777898,47471900,182.02386810302735,1,0.004544925066539918,0.004544925066539918
141,141,141,141,141,2023-07-27,190.7242126464844,194.6527994732912,190.06286872536143,193.48804855415668,47460200,182.44140380859375,1,-0.006581013272421332,-0.006581013272421332
142,142,142,142,142,2023-07-28,193.300521850586,194.09019149232068,191.6323486861164,192.1555016231553,48291400,182.91046569824218,1,0.013508034288634896,0.013508034288634896
143,143,143,143,143,2023-07-31,193.9124755859375,193.9519673452193,192.7378442652397,193.5275137722519,38824100,183.37952758789064,1,0.003165815226430224,0.003165815226430224
144,144,144,144,144,2023-08-01,193.0833435058593,194.1888718595327,192.75760424557475,193.7052107356477,35175100,183.78541564941406,1,-0.004275805760165063,-0.004275805760165063
145,145,145,145,145,2023-08-02,190.09246826171875,192.65887532596588,189.37190180440743,192.5206842922117,50389300,184.1293145751953,1,-0.015490073819079964,-0.015490073819079964
146,146,146,146,146,2023-08-03,188.70069885253903,189.885195713569,188.22690312046603,189.09554118067888,61235200,184.46433074951173,1,-0.007321538943160677,-0.007321538943160677
147,147,147,147,147,2023-08-04,179.63926696777344,184.9596445164711,179.57016391801557,183.12366926443607,115956800,184.67023651123046,0,-0.04802012891243557,-0.04802012891243557
148,148,148,148,148,2023-08-07,176.53982543945312,180.7645400695484,175.05920073091434,179.7774569305225,97576100,184.80862579345703,0,-0.017253697260278478,-0.0
149,149,149,149,149,2023-08-08,177.47756958007812,177.94149990785485,175.2862435821482,177.3689898212007,67823000,184.94306640625,0,0.00531179941008042,0.0
150,150,150,150,150,2023-08-09,175.8883056640625,178.59290319061995,174.72354000135385,178.5336806260515,60378500,184.99755187988282,0,-0.008954731123352211,-0.0
151,151,151,151,151,2023-08-10,175.67120361328125,178.41529378720278,175.30598763799586,177.16169386807627,54686900,185.01077880859376,0,-0.0012343177106720615,-0.0
152,152,152,152,152,2023-08-11,175.73049926757812,176.5508864753638,174.5048729038775,175.2659575562626,52036700,185.02617919921875,0,0.0003375377015542025,0.0
153,153,153,153,153,2023-08-14,177.3811492919922,177.60848075837384,175.2560457553654,175.90840396188517,43675600,185.01852600097655,0,0.009393076508026565,0.0
154,154,154,154,154,2023-08-15,175.39443969726562,177.40092323969566,174.99907927707545,176.8078826094104,43622600,184.95416046142577,0,-0.011200229577136067,-0.0
155,155,155,155,155,2023-08-16,174.524658203125,176.47182426987777,174.4554618287455,175.0781688700227,46964900,184.89944580078125,0,-0.004959002666457879,-0.0
156,156,156,156,156,2023-08-17,171.98443603515625,175.45377181529804,171.47045533667884,175.08806261090004,66062900,184.8012307739258,0,-0.014555090347246225,-0.0
157,157,157,157,157,2023-08-18,172.46875,173.0716844916875,169.96805819399307,170.30411608587545,61172200,184.74014251708985,0,0.0028160336830986843,0.0
158,158,158,158,158,2023-08-21,173.80308532714844,174.08973444525807,171.7274205434044,173.0420157807921,46311900,184.6514517211914,0,0.007736678831083532,0.0
159,159,159,159,159,2023-08-22,175.17698669433594,175.62177093693052,174.2083431088137,175.00895776189057,42038900,184.58253967285157,0,0.007904930827904444,0.0
160,160,160,160,160,2023-08-23,179.02191162109375,179.44693836874362,176.26423745502308,176.45203891919172,52722800,184.53465789794922,0,0.021948801605240265,0.0
161,161,161,161,161,2023-08-24,174.3368377685547,179.0021629998802,173.97111355320405,178.57713623123834,54945800,184.4025506591797,0,-0.026170393389917446,-0.0
162,162,162,162,162,2023-08-25,176.541015625,177.07475372946672,173.78334110152613,175.3252679389123,51449600,184.30189178466796,0,0.01264321347489128,0.0
163,163,163,163,163,2023-08-28,178.10269165039062,178.49805204021447,176.48168992086147,178.0038440119186,43820700,184.19179901123047,0,0.008845967153082723,0.0
164,164,164,164,164,2023-08-29,181.98716735839844,182.7581307092116,177.4206898063463,177.61837000977968,53003900,184.18091400146486,0,0.021810314442821,0.0
165,165,165,165,165,2023-08-30,185.47628784179688,185.67398314097,182.6000082560471,182.7976884731864,60813900,184.23803497314452,1,0.01917234349017094,0.0
166,166,166,166,166,2023-08-31,185.6937561035156,186.9292764162969,185.3082743692093,185.6641048225717,60794500,184.32023345947266,1,0.0011724855195733852,0.0011724855195733852
167,167,167,167,167,2023-09-01,187.2653350830078,187.7199980774023,186.09899615427736,187.29498636168424,45766500,184.3738491821289,1,0.008463283916860131,0.008463283916860131
168,168,168,168,168,2023-09-05,187.5025329589844,187.77928826308653,185.4367469097816,186.09898389331408,45280000,184.43852661132811,1,0.001266640597799018,0.001266640597799018
169,169,169,169,169,2023-09-06,180.7912139892578,186.66240873519865,179.36789222272253,186.21760937163043,81755800,184.39681274414062,0,-0.035793217637196784,-0.035793217637196784
170,170,170,170,170,2023-09-07,175.50315856933594,176.14563807720947,171.5297216636145,173.1507234483217,112488800,184.19425872802734,0,-0.029249515522563385,-0.0
171,171,171,171,171,2023-09-08,176.115966796875,178.15211655476327,175.7304851357375,176.2840107997074,65551300,183.98046813964845,0,0.0034917219298760127,0.0
172,172,172,172,172,2023-09-11,177.28233337402344,178.21144703159865,175.2857283917044,177.9841155245434,58953100,183.78329315185547,0,0.006622719100157992,0.0
173,173,173,173,173,2023-09-12,174.25775146484375,178.04338672084478,172.79489994360574,177.4108010563609,90370200,183.43915740966796,0,-0.01706081960687278,-0.0
174,174,174,174,174,2023-09-13,172.19200134277344,175.24620393193433,171.96465474647994,174.46534664942806,84267900,183.08351684570312,0,-0.011854566610123407,-0.0
